Ma,Re_L,alpha_L,c_i,c_r,family
3,2497.701306,0.103448,5.30881464e-03,2.64354247e-01,TS
3,2809.796735,0.103448,5.49054316e-03,2.63568656e-01,TS
3,3160.889444,0.103448,5.54738820e-03,2.62784609e-01,TS
3,3555.852262,0.103448,5.47362293e-03,2.62029793e-01,TS
3,4000.166894,0.103448,5.27187309e-03,2.61335742e-01,TS
3,4500.000000,0.103448,4.95579521e-03,2.60735255e-01,TS
3,300.000000,0.111034,-4.18898279e-03,3.08416661e-01,TS
3,337.485919,0.111034,-3.33524135e-03,3.08207424e-01,TS
3,379.655818,0.111034,-2.51773031e-03,3.07980930e-01,TS
3,427.094976,0.111034,-1.73027085e-03,3.07734004e-01,TS
3,480.461801,0.111034,-9.68299786e-04,3.07462736e-01,TS
3,540.496975,0.111034,-2.28958352e-04,3.07162514e-01,TS
3,608.033727,0.111034,4.88748145e-04,3.06828131e-01,TS
3,684.009404,0.111034,1.18372801e-03,3.06453981e-01,TS
3,769.478474,0.111034,1.85254536e-03,3.06034413e-01,TS
3,865.627167,0.111034,2.48918058e-03,3.05564282e-01,TS
3,973.789933,0.111034,3.08489286e-03,3.05039727e-01,TS
3,1095.467968,0.111034,3.62829081e-03,3.04459146e-01,TS
3,1232.350046,0.111034,4.10572361e-03,3.03824294e-01,TS
3,1386.335959,0.111034,4.50208578e-03,3.03141368e-01,TS
3,1559.562883,0.111034,4.80208996e-03,3.02421902e-01,TS
3,1754.435043,0.111034,4.99201337e-03,3.01683306e-01,TS
3,1973.657075,0.111034,5.06187790e-03,3.00948842e-01,TS
3,2220.271572,0.111034,5.00797015e-03,3.00246825e-01,TS
3,2497.701306,0.111034,4.83549428e-03,2.99608714e-01,TS
3,2809.796735,0.111034,4.56088097e-03,2.99065746e-01,TS
3,3160.889444,0.111034,4.21279077e-03,2.98643862e-01,TS
3,3555.852262,0.111034,3.83035183e-03,2.98357466e-01,TS
3,4000.166894,0.111034,3.45739561e-03,2.98203959e-01,TS
3,4500.000000,0.111034,3.13329301e-03,2.98162217e-01,TS
3,300.000000,0.118621,-2.37312344e-03,3.40473452e-01,TS
3,337.485919,0.118621,-1.56923171e-03,3.40225094e-01,TS
3,379.655818,0.118621,-7.98688318e-04,3.39947085e-01,TS
3,427.094976,0.118621,-5.91691559e-05,3.39634862e-01,TS
3,480.461801,0.118621,6.49429645e-04,3.39283526e-01,TS
3,540.496975,0.118621,1.32475833e-03,3.38888160e-01,TS
3,608.033727,0.118621,1.96179170e-03,3.38444349e-01,TS
3,684.009404,0.118621,2.55271508e-03,3.37948922e-01,TS
3,769.478474,0.118621,3.08704046e-03,3.37400919e-01,TS
3,865.627167,0.118621,3.55207953e-03,3.36802706e-01,TS
3,973.789933,0.118621,3.93387475e-03,3.36161103e-01,TS
3,1095.467968,0.118621,4.21864238e-03,3.35488316e-01,TS
3,1232.350046,0.118621,4.39471734e-03,3.34802431e-01,TS
3,1386.335959,0.118621,4.45491527e-03,3.34127199e-01,TS
3,1559.562883,0.118621,4.39911945e-03,3.33490805e-01,TS
3,1754.435043,0.118621,4.23670870e-03,3.32923316e-01,TS
3,1973.657075,0.118621,3.98811799e-03,3.32452604e-01,TS
3,2220.271572,0.118621,3.68444396e-03,3.32099001e-01,TS
3,2497.701306,0.118621,3.36396413e-03,3.31869859e-01,TS
3,2809.796735,0.118621,3.06537171e-03,3.31756271e-01,TS
3,3160.889444,0.118621,2.81954198e-03,3.31734285e-01,TS
3,3555.852262,0.118621,2.64330789e-03,3.31770923e-01,TS
3,4000.166894,0.118621,2.53801324e-03,3.31832480e-01,TS
3,4500.000000,0.118621,2.49276593e-03,3.31891446e-01,TS
3,300.000000,0.126207,-1.12789495e-03,3.68529657e-01,TS
3,337.485919,0.126207,-3.80350526e-04,3.68219110e-01,TS
3,379.655818,0.126207,3.27324831e-04,3.67868976e-01,TS
3,427.094976,0.126207,9.92818416e-04,3.67475102e-01,TS
3,480.461801,0.126207,1.61103977e-03,3.67034186e-01,TS
3,540.496975,0.126207,2.17411779e-03,3.66544611e-01,TS
3,608.033727,0.126207,2.67169729e-03,3.66007460e-01,TS
3,684.009404,0.126207,3.09167102e-03,3.65427630e-01,TS
3,769.478474,0.126207,3.42144487e-03,3.64814842e-01,TS
3,865.627167,0.126207,3.64975806e-03,3.64184307e-01,TS
3,973.789933,0.126207,3.76897770e-03,3.63556757e-01,TS
3,1095.467968,0.126207,3.77765004e-03,3.62957498e-01,TS
3,1232.350046,0.126207,3.68290005e-03,3.62414204e-01,TS
3,1386.335959,0.126207,3.50200332e-03,3.61953282e-01,TS
3,1559.562883,0.126207,3.26218694e-03,3.61595065e-01,TS
3,1754.435043,0.126207,2.99774121e-03,3.61348886e-01,TS
3,1973.657075,0.126207,2.74429243e-03,3.61209885e-01,TS
3,2220.271572,0.126207,2.53165382e-03,3.61159492e-01,TS
3,2497.701306,0.126207,2.37801877e-03,3.61170022e-01,TS
3,2809.796735,0.126207,2.28790305e-03,3.61211593e-01,TS
3,3160.889444,0.126207,2.25415683e-03,3.61258417e-01,TS
3,3555.852262,0.126207,2.26238229e-03,3.61292481e-01,TS
3,4000.166894,0.126207,2.29566869e-03,3.61304373e-01,TS
3,4500.000000,0.126207,2.33834885e-03,3.61292104e-01,TS
3,300.000000,0.133793,-3.37757067e-04,3.93169089e-01,TS
3,337.485919,0.133793,3.35908853e-04,3.92792814e-01,TS
3,379.655818,0.133793,9.56158238e-04,3.92372968e-01,TS
3,427.094976,0.133793,1.51630035e-03,3.91908594e-01,TS
3,480.461801,0.133793,2.00726773e-03,3.91401502e-01,TS
3,540.496975,0.133793,2.41842155e-03,3.90857322e-01,TS
3,608.033727,0.133793,2.73890721e-03,3.90286427e-01,TS
3,684.009404,0.133793,2.95957070e-03,3.89704424e-01,TS
3,769.478474,0.133793,3.07531285e-03,3.89131912e-01,TS
3,865.627167,0.133793,3.08757712e-03,3.88593169e-01,TS
3,973.789933,0.133793,3.00643401e-03,3.88113552e-01,TS
