Ma,Re_L,alpha_L,c_i
4,2220.271572,0.050345,3.55792161e-03
4,2220.271572,0.057931,8.07873862e-03
4,2220.271572,0.065517,6.79875560e-03
4,2220.271572,0.073103,5.01462508e-03
4,2220.271572,0.080690,2.19554812e-03
4,2220.271572,0.088276,3.32940555e-03
4,2220.271572,0.095862,2.71019794e-03
4,2220.271572,0.103448,1.99338983e-03
4,2220.271572,0.111034,1.66656703e-03
4,2220.271572,0.118621,1.49796134e-03
4,2220.271572,0.126207,1.09764850e-03
4,2220.271572,0.133793,7.31851375e-04
4,2220.271572,0.141379,5.68878692e-04
4,2220.271572,0.148966,5.37452568e-04
4,2220.271572,0.156552,4.50702151e-04
4,2220.271572,0.164138,5.46686263e-05
4,2220.271572,0.171724,4.92215063e-05
4,2220.271572,0.179310,-6.34616658e-05
4,2220.271572,0.186897,-8.21704195e-05
4,2220.271572,0.194483,-1.03704593e-04
4,2220.271572,0.202069,-1.31150517e-04
4,2220.271572,0.209655,-4.35757774e-04
4,2220.271572,0.217241,-4.40436520e-04
4,2220.271572,0.224828,-4.47171570e-04
4,2220.271572,0.232414,-4.58097778e-04
4,2220.271572,0.240000,-4.72310425e-04
4,2497.701306,0.020000,-9.70420236e-03
4,2497.701306,0.027586,2.35834470e-02
4,2497.701306,0.035172,-2.17612020e-02
4,2497.701306,0.042759,-6.80055652e-03
4,2497.701306,0.050345,4.32506411e-03
4,2497.701306,0.057931,8.22069962e-03
4,2497.701306,0.065517,6.46413868e-03
4,2497.701306,0.073103,4.88465197e-03
4,2497.701306,0.080690,2.55099517e-03
4,2497.701306,0.088276,3.35613003e-03
4,2497.701306,0.095862,2.54667752e-03
4,2497.701306,0.103448,1.92466606e-03
4,2497.701306,0.111034,1.68646601e-03
4,2497.701306,0.118621,1.48934948e-03
4,2497.701306,0.126207,1.01474996e-03
4,2497.701306,0.133793,7.07462056e-04
4,2497.701306,0.141379,6.63192970e-04
4,2497.701306,0.148966,5.49525251e-04
4,2497.701306,0.156552,5.01272287e-04
4,2497.701306,0.164138,6.29192223e-05
4,2497.701306,0.171724,1.14615978e-04
4,2497.701306,0.179310,-8.71613575e-06
4,2497.701306,0.186897,-2.48585152e-05
4,2497.701306,0.194483,-4.84183414e-05
4,2497.701306,0.202069,-7.81074235e-05
4,2497.701306,0.209655,-3.70793266e-04
4,2497.701306,0.217241,-3.74253043e-04
4,2497.701306,0.224828,-3.82636614e-04
4,2497.701306,0.232414,-3.95556920e-04
4,2497.701306,0.240000,-4.11242391e-04
4,2809.796735,0.020000,-7.17857879e-03
4,2809.796735,0.027586,2.41489741e-02
4,2809.796735,0.035172,-2.09221692e-02
4,2809.796735,0.042759,-6.49910815e-03
4,2809.796735,0.050345,5.06367252e-03
4,2809.796735,0.057931,8.23264142e-03
4,2809.796735,0.065517,6.12725262e-03
4,2809.796735,0.073103,4.80978887e-03
4,2809.796735,0.080690,2.86930019e-03
4,2809.796735,0.088276,3.30318632e-03
4,2809.796735,0.095862,2.38104979e-03
4,2809.796735,0.103448,1.88502656e-03
4,2809.796735,0.111034,1.71665136e-03
4,2809.796735,0.118621,1.42989658e-03
4,2809.796735,0.126207,9.31960917e-04
4,2809.796735,0.133793,6.98427664e-04
4,2809.796735,0.141379,7.29072720e-04
4,2809.796735,0.148966,5.93457661e-04
4,2809.796735,0.156552,5.43367902e-04
4,2809.796735,0.164138,1.38809784e-04
4,2809.796735,0.171724,1.42039266e-04
4,2809.796735,0.179310,4.13663296e-05
4,2809.796735,0.186897,2.41659229e-05
4,2809.796735,0.194483,-1.90612775e-06
4,2809.796735,0.202069,-3.32688270e-05
4,2809.796735,0.209655,-3.12049316e-04
4,2809.796735,0.217241,-3.16450737e-04
4,2809.796735,0.224828,-3.26919384e-04
4,2809.796735,0.232414,-3.41444076e-04
4,2809.796735,0.240000,-3.58040745e-04
4,3160.889444,0.020000,-4.73841126e-03
4,3160.889444,0.027586,2.44850193e-02
4,3160.889444,0.035172,-2.00999369e-02
4,3160.889444,0.042759,-5.78831143e-03
